run_id,timestamp,stt_freq_hz,sot_freq_hz,ext_freq_hz,vcma_freq_hz,mx_amp,my_amp,mz_amp,notes
1,2026-04-07T11:17:54.239635,520000000.0,0.0,520000000.0,0.0,0.0001316621,0.03795796,0.03069942,Single frequency test at 5.200e+08 Hz
2,2026-04-07T11:22:14.177574,400000000.0,0.0,400000000.0,0.0,5.010562e-06,0.008282955,0.008634144,Single frequency test at 4.000e+08 Hz
3,2026-04-07T11:22:18.972834,450000000.0,0.0,450000000.0,0.0,1.03675e-05,0.01320076,0.01228458,Single frequency test at 4.500e+08 Hz
4,2026-04-07T11:22:23.649387,600000000.0,0.0,600000000.0,0.0,7.067205e-05,0.02358111,0.01659265,Single frequency test at 6.000e+08 Hz
5,2026-04-07T11:22:30.118242,650000000.0,0.0,650000000.0,0.0,2.827943e-05,0.01399661,0.0091088,Single frequency test at 6.500e+08 Hz
6,2026-04-07T11:28:15.000000,500000000.0,0.0,500000000.0,0.0,5.598193e-05,0.02627335,0.0220764,Test at 5.000e+08 Hz
7,2026-04-07T11:28:45.000000,510000000.0,0.0,510000000.0,0.0,8.532236e-05,0.03145127,0.02592291,Test at 5.100e+08 Hz
8,2026-04-07T11:29:05.000000,530000000.0,0.0,530000000.0,0.0,1.96121e-04,0.04509987,0.03580374,Test at 5.300e+08 Hz
9,2026-04-07T11:29:30.000000,540000000.0,0.0,540000000.0,0.0,2.545939e-04,0.05012616,0.03907474,Test at 5.400e+08 Hz
10,2026-04-07T11:29:55.000000,550000000.0,0.0,550000000.0,0.0,2.606931e-04,0.04957988,0.03796515,Test at 5.500e+08 Hz
11,2026-04-07T11:30:20.000000,545000000.0,0.0,545000000.0,0.0,2.65914e-04,0.05063513,0.03911886,Test at 5.450e+08 Hz
12,2026-04-07T11:30:45.000000,548000000.0,0.0,548000000.0,0.0,2.646708e-04,0.05017698,0.03855858,Test at 5.480e+08 Hz
13,2026-04-07T11:31:10.000000,542000000.0,0.0,542000000.0,0.0,2.610833e-04,0.05052189,0.03924164,Test at 5.420e+08 Hz
14,2026-04-07T14:25:07.611934,300000000.0,0.0,300000000.0,0.0,3.199398e-06,0.002303249,0.004129314,Single frequency test at 3.000e+08 Hz
15,2026-04-07T14:27:49.162784,300000000.0,0.0,300000000.0,0.0,3.199398e-06,0.002303249,0.004129314,Single frequency test at 3.000e+08 Hz
16,2026-04-07T14:27:53.188162,300000000.0,0.0,300000000.0,0.0,3.199398e-06,0.002303249,0.004129314,Single frequency test at 3.000e+08 Hz
